institutions,event,short description,code,year,month,date,Relevance,relation,relation2,relation3,relation4,relation5,relation6,relation7,relation8,relation9,home page,link1 - Agenda,link2 - Working Doc,link 3 - Outcomes,link 4,link 5,issue
IGF Processes,IGF 2013 Bali,,d10,2013,Oct,Oct 21-25,,d2,d11,-d3,-d4,-d5,-d6,-d7,-d8,-d9,,,,,,,
IGF Processes,MAG Mtg,,d11,2014,Feb,,,d10,d12,,,,,,,,,,,,,,
IGF Processes,MAG Mtg,,d12,2014,May,,,d11,d13,,,,,,,,,,,,,,
IGF Processes,IGF 2014,,d13,2014,Nov,,,,,,,,,,,,,,,,,,
IGF Processes,EuroDig,,d14,2014,,,,,,,,,,,,,,,,,,,
IGF Processes,West Africa IGF,,d15,2014,,,,,,,,,,,,,,,,,,,
IGF Processes,SA IGF,,d16,2014,,,,,,,,,,,,,,,,,,,
IGF Processes,LAC IGF,,d17,2014,,,,,,,,,,,,,,,,,,,
IGF Processes,APr IGF,,d18,2014,,,,,,,,,,,,,,,,,,,
IGF Processes,Af IGF,,d19,2014,,,,,,,,,,,,,,,,,,,
IGF Processes,Arab IGF,,d20,2014,,,,,,,,,,,,,,,,,,,
IETF,IETF 86 Orlando,,e1,2013,Mar,Mar 10-15,,e2,,,,,,,,,,,,,,,
IETF,IETF 87 Berlin,,e2,2013,Jul,Jul 28-Aug 2,,e3,,,,,,,,,,,,,,,
IETF,IETF 88 Vancouver,,e3,2013,Nov,Nov 3-8,,e4,,,,,,,,,,,,,,,
IETF,IETF 89 London,,e4,2014,Mar,Mar 2-7,,e5,,,,,,,,,,,,,,,
IETF,IETF 90 Toronto,,e5,2014,July,July 20-25,,e6,,,,,,,,,,,,,,,
IETF,IETF 91 Honolulu,,e6,2014,Nov,Nov 9-14,,,,,,,,,,,,,,,,,
ICANN ,ICANN 46 Beijing,,f1,2013,Apr,Apr 7-11,,f2,,,,,,,,,,,,,,,
ICANN ,ICANN 47 Durban,,f2,2013,Jul,Jul 14-18,,f3,,,,,,,,,,,,,,,
ICANN ,ICANN 48 Buenos A,,f3,2013,Nov,Nov 17-21,,f4,,,,,,,,,,,,,,,
ICANN ,High Level Panel London,,f4,2013,Dec,Dec 12-13,,f5,,,,,,,,,,,,,,,
ICANN ,ICANN 49 Singapore,,f5,2014,Mar,Mar 23-27,,f6,,,,,,,,,,,,,,,
ICANN ,ICANN 50 London,,f6,2014,Jun,Jun 22-26,,f7,,,,,,,,,,,,,,,
ICANN ,ICANN 51 Los Angeles,,f7,2014,Oct,Oct 12-16,,,,,,,,,,,,,,,,,
Brazilian meeting,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity/London Process?,,,,,,,,,,,,,,,,,,,,,,,
UNESCO,,,,,,,,,,,,,,,,,,Resolution on Internet-related issues adopted by UNESCO General Conference at its 37th session http://www.unesco.org/new/en/communication-and-information/resources/news-and-in-focus-articles/all-news/news/resolution_on_internet_related_issues_adopted_by_unesco_general_conference_at_its_37th_session/#.Uq6-N2RDsVx,,,,,
Human Rights Council ,,,,,,,,,,,,,,,,,,,,,,,
Relevant meetings,,,,,,,,,,,,,,,,,,,,,,,
